step,sim_time,reward,total_waiting,vehicle_count,avg_travel_time
0,5.0,-1.2000000000000002,0.0,12,5.0
1,10.0,-2.4000000000000004,0.0,24,7.5
2,15.0,-3.6,0.0,36,10.0
3,20.0,-4.800000000000001,0.0,48,12.5
4,25.0,-7.0,1.0,60,15.0
5,30.0,-9.2,2.0,72,17.5
6,35.0,-10.4,2.0,84,20.0
7,40.0,-15.600000000000001,6.0,96,22.5
8,45.0,-18.200000000000003,8.0,102,24.73148148148148
9,50.0,-21.0,10.0,110,26.866666666666667
10,55.0,-24.4,13.0,114,28.886363636363637
11,60.0,-25.9,14.0,119,30.63888888888889
12,65.0,-28.1,16.0,121,32.26923076923077
13,70.0,-22.700000000000003,10.0,127,33.773809523809526
14,75.0,-24.200000000000003,11.0,132,35.21111111111111
15,80.0,-29.700000000000003,16.0,137,36.640625
16,85.0,-27.200000000000003,13.0,142,37.96568627450981
17,90.0,-26.200000000000003,12.0,142,39.24074074074074
18,95.0,-27.200000000000003,13.0,142,40.37719298245614
19,100.0,-29.0,14.0,150,41.5
20,105.0,-31.4,16.0,154,42.638888888888886
21,110.0,-36.8,21.0,158,43.71212121212121
22,115.0,-38.0,22.0,160,44.789855072463766
23,120.0,-37.1,21.0,161,45.77430555555556
24,125.0,-39.7,24.0,157,46.62
25,130.0,-42.3,26.0,163,47.44551282051282
26,135.0,-46.900000000000006,30.0,169,48.30555555555556
27,140.0,-50.400000000000006,34.0,174,49.19940476190476
28,145.0,-51.3,37.0,173,50.05172413793103
29,150.0,-53.6,41.0,176,50.833333333333336
30,155.0,-54.0,43.0,180,51.6505376344086
31,160.0,-50.400000000000006,36.0,184,52.440104166666664
32,165.0,-50.2,35.0,192,53.282828282828284
33,170.0,-53.0,38.0,200,54.17156862745098
34,175.0,-56.2,41.0,202,55.08571428571429
35,180.0,-59.2,48.0,202,55.91898148148148
36,185.0,-60.400000000000006,51.0,204,56.72522522522522
37,190.0,-57.2,43.0,212,57.56359649122807
38,195.0,-57.0,42.0,220,58.44017094017094
39,200.0,-59.8,42.0,228,59.358333333333334
