method,eval_wait_only_reward,avg_waiting,final_waiting,avg_travel_time
fixed_cycle,-3238.0,22.48611111111111,38.0,76.64454734596151
bucketed_no_phase_default,-1817.0,12.618055555555555,58.0,58.298639101437224
bucketed_no_phase_delta_wait,-1072.0,7.444444444444445,21.0,57.1351955120162
bucketed_no_phase_wait_small_vehicle,-906.0,6.291666666666667,21.0,56.28315786401644
bucketed_no_phase_wait_vehicle,-2441.0,16.95138888888889,77.0,61.816488187180894
capped_no_phase_default_reward,-2127.0,14.770833333333334,40.0,63.71394239392779
capped_no_phase_delta_wait,-449.0,3.1180555555555554,5.0,54.98547043213478
capped_no_phase_wait_small_vehicle,-2000.0,13.88888888888889,29.0,69.19941324612334
capped_no_phase_wait_vehicle,-2140.0,14.86111111111111,33.0,71.8898062892507
bucketed_with_phase_default_reward,-2168.0,15.055555555555555,42.0,68.87794321203138
bucketed_with_phase_delta_wait,-578.0,4.013888888888889,7.0,56.38065157877403
bucketed_with_phase_wait_small_vehicle,-1562.0,10.847222222222221,22.0,68.33182061722347
bucketed_with_phase_wait_vehicle,-3899.0,27.07638888888889,47.0,75.97877095255492
capped_with_phase_default_reward,-4017.0,27.895833333333332,30.0,88.74790102994221
capped_with_phase_delta_wait,-581.0,4.034722222222222,7.0,55.36057752736551
capped_with_phase_wait_small_vehicle,-4617.0,32.0625,65.0,84.03023557023532
capped_with_phase_wait_vehicle,-2315.0,16.07638888888889,25.0,74.6358988011127
