decision_step,time,action,phase_id,reward,total_waiting,vehicle_count,avg_travel_time
0,5.0,0,0,-0.0,0.0,12,5.0
1,10.0,0,0,-0.0,0.0,24,7.5
2,15.0,0,0,-0.0,0.0,36,10.0
3,20.0,1,2,-0.0,0.0,48,12.5
4,25.0,1,2,-6.0,6.0,60,15.0
5,30.0,1,2,-12.0,12.0,72,17.5
6,35.0,0,0,-14.0,14.0,84,20.0
7,40.0,0,0,-20.0,20.0,96,22.5
8,45.0,0,0,-26.0,26.0,102,24.77777777777778
9,50.0,1,2,-24.0,24.0,108,26.866666666666667
10,55.0,1,2,-32.0,32.0,112,28.78787878787879
11,60.0,1,2,-37.0,37.0,116,30.45138888888889
12,65.0,0,0,-39.0,39.0,122,32.03846153846154
13,70.0,0,0,-45.0,45.0,124,33.529761904761905
14,75.0,0,0,-51.0,51.0,126,34.827777777777776
15,80.0,1,2,-49.0,49.0,132,36.130208333333336
16,85.0,1,2,-57.0,57.0,136,37.38725490196079
17,90.0,1,2,-63.0,63.0,140,38.574074074074076
18,95.0,0,0,-66.0,66.0,146,39.74561403508772
19,100.0,0,0,-71.0,71.0,149,40.916666666666664
20,105.0,0,0,-77.0,77.0,150,41.99603174603175
21,110.0,1,2,-76.0,76.0,156,43.071969696969695
22,115.0,1,2,-82.0,82.0,161,44.155797101449274
23,120.0,1,2,-88.0,88.0,164,45.173611111111114
24,125.0,0,0,-90.0,90.0,170,46.20333333333333
25,130.0,0,0,-96.0,96.0,172,47.23076923076923
26,135.0,0,0,-101.0,101.0,175,48.22222222222222
27,140.0,1,2,-100.0,100.0,180,49.19940476190476
28,145.0,1,2,-106.0,106.0,185,50.19827586206897
29,150.0,1,2,-112.0,112.0,188,51.147222222222226
30,155.0,0,0,-114.0,114.0,194,52.10752688172043
31,160.0,0,0,-120.0,120.0,197,53.075520833333336
32,165.0,0,0,-126.0,126.0,198,54.01010101010101
33,170.0,1,2,-124.0,124.0,204,54.93627450980392
34,175.0,1,2,-132.0,132.0,208,55.885714285714286
35,180.0,1,2,-138.0,138.0,212,56.80324074074074
36,185.0,0,0,-140.0,140.0,218,57.729729729729726
37,190.0,0,0,-146.0,146.0,220,58.6578947368421
38,195.0,0,0,-153.0,153.0,222,59.544871794871796
39,200.0,1,2,-151.0,151.0,228,60.44583333333333
